BUKRS	LIFNR	BELNR	GJAHR	BUDAT	WRBTR	WAERS	SHKZG	BLART	BVTYP	AUGDT	AUGBL
3000	0000100001	5100000003	2026	2026-05-12	156848.56	USD	H	RE	""	2026-07-11	2000000001
3000	0000100001	5100000004	2026	2026-03-18	150885.75	USD	H	KR	""	2026-05-31	2000000002
3000	0000100001	5100000005	2026	2026-02-15	10785.65	GBP	H	RE	""	2026-04-21	2000000003
3000	0000100001	5100000006	2026	2026-04-14	266783.33	EUR	H	RE	""	2026-05-07	2000000004
3000	0000100002	5100000008	2026	2026-04-07	212688.86	GBP	H	KZ	""	2026-04-13	2000000005
4000	0000100003	5100000009	2026	2026-06-27	62974.01	GBP	H	KG	""	2026-09-09	2000000006
4000	0000100003	5100000010	2026	2026-07-07	475639.26	GBP	H	KG	""	2026-08-21	2000000007
4000	0000100003	5100000011	2026	2026-01-26	450571.37	JPY	H	KR	""	2026-02-14	2000000008
4000	0000100003	5100000013	2026	2026-04-10	30746.8	EUR	H	KG	""	2026-04-19	2000000009
1000	0000100004	5100000016	2026	2026-01-28	465819.25	JPY	H	KR	""	2026-04-08	2000000010
1000	0000100005	5100000018	2026	2026-02-09	210463.55	EUR	H	KR	0001	2026-04-16	2000000011
3000	0000100006	5100000021	2026	2026-01-30	179812.34	JPY	H	KZ	""	2026-03-28	2000000012
3000	0000100006	5100000023	2026	2026-01-13	279870.21	EUR	H	KR	""	2026-02-05	2000000013
1000	0000100007	5100000026	2026	2026-01-17	367402.09	JPY	H	KZ	0001	2026-03-07	2000000014
1000	0000100007	5100000027	2026	2026-03-12	198951.21	GBP	H	KR	0001	2026-03-23	2000000015
1000	0000100007	5100000028	2026	2026-04-09	204201.1	USD	H	KZ	0001	2026-05-21	2000000016
4000	0000100008	5100000030	2026	2026-02-06	74088.32	USD	H	KR	""	2026-04-20	2000000017
1000	0000100009	5100000032	2026	2026-06-26	258840.98	JPY	H	KR	0001	2026-07-17	2000000018
1000	0000100009	5100000033	2026	2026-05-12	145251.97	EUR	H	RE	0001	2026-05-25	2000000019
1000	0000100009	5100000034	2026	2026-06-30	58185.75	USD	H	RE	0001	2026-07-06	2000000020
1000	0000100009	5100000036	2026	2026-06-11	303482.94	JPY	H	RE	0001	2026-08-02	2000000021
2000	0000100010	5100000038	2026	2026-05-19	228402.61	USD	H	RE	""	2026-06-14	2000000022
2000	0000100010	5100000039	2026	2026-06-28	282382.39	GBP	H	KZ	""	2026-09-09	2000000023
2000	0000100010	5100000041	2026	2026-04-19	63172.83	JPY	H	KR	""	2026-06-10	2000000024
3000	0000100011	5100000042	2026	2026-03-13	47200.77	EUR	H	RE	""	2026-03-18	2000000025
3000	0000100011	5100000043	2026	2026-08-11	252152.48	JPY	H	KR	""	2026-08-20	2000000026
3000	0000100011	5100000045	2026	2026-07-20	166590.86	GBP	H	RE	""	2026-08-28	2000000027
2000	0000100012	5100000046	2026	2026-03-12	28565.05	USD	H	KG	0001	2026-04-28	2000000028
1000	0000100013	5100000048	2026	2026-07-20	372776.37	GBP	H	RE	""	2026-09-29	2000000029
1000	0000100014	5100000049	2026	2026-06-19	342460.34	EUR	H	KG	""	2026-07-25	2000000030
1000	0000100014	5100000051	2026	2026-04-25	57908.98	USD	H	RE	""	2026-05-02	2000000031
1000	0000100014	5100000052	2026	2026-07-26	437563.47	EUR	H	KG	""	2026-09-05	2000000032
2000	0000100015	5100000053	2026	2026-03-31	352606.34	JPY	H	KR	0001	2026-06-05	2000000033
2000	0000100015	5100000056	2026	2026-04-20	321631.84	GBP	H	KZ	0001	2026-06-07	2000000034
3000	0000100016	5100000057	2026	2026-05-31	387232.2	GBP	H	RE	""	2026-06-23	2000000035
5000	0000100017	5100000059	2026	2026-01-27	412350.75	EUR	H	KZ	""	2026-02-12	2000000036
5000	0000100017	5100000060	2026	2026-04-03	380135.74	JPY	H	KZ	""	2026-05-30	2000000037
1000	0000100018	5100000061	2026	2026-03-24	427877.11	EUR	H	KR	""	2026-05-12	2000000038
1000	0000100018	5100000062	2026	2026-05-19	98225.59	GBP	H	KZ	""	2026-07-24	2000000039
1000	0000100018	5100000063	2026	2026-03-26	288052.86	GBP	H	KG	""	2026-04-30	2000000040
1000	0000100018	5100000065	2026	2026-03-04	177206.72	JPY	H	RE	""	2026-04-02	2000000041
1000	0000100018	5100000066	2026	2026-05-10	77453.19	EUR	H	KZ	""	2026-06-13	2000000042
3000	0000100019	5100000067	2026	2026-07-11	364420.63	JPY	H	KR	""	2026-08-29	2000000043
3000	0000100019	5100000069	2026	2026-02-28	103282.16	JPY	H	KZ	""	2026-04-14	2000000044
3000	0000100019	5100000070	2026	2026-06-11	58638.07	JPY	H	KR	""	2026-08-06	2000000045
5000	0000100020	5100000072	2026	2026-05-21	259951.65	JPY	H	KR	""	2026-06-13	2000000046
4000	0000100021	5100000074	2026	2026-06-07	144092.72	JPY	H	KR	""	2026-06-24	2000000047
4000	0000100021	5100000075	2026	2026-08-06	243424.66	EUR	H	RE	""	2026-10-08	2000000048
5000	0000100022	5100000078	2026	2026-01-07	137344.36	JPY	H	RE	""	2026-03-14	2000000049
4000	0000100023	5100000079	2026	2026-07-08	1218.27	JPY	H	KR	0001	2026-09-07	2000000050
4000	0000100023	5100000080	2026	2026-04-18	189044.02	USD	H	KZ	0001	2026-06-01	2000000051
2000	0000100024	5100000084	2026	2026-07-01	347221.95	USD	H	RE	""	2026-08-05	2000000052
5000	0000100025	5100000086	2026	2026-04-17	86222.85	GBP	H	KR	""	2026-05-30	2000000053
5000	0000100025	5100000088	2026	2026-07-10	278381.37	GBP	H	KG	""	2026-08-07	2000000054
5000	0000100025	5100000090	2026	2026-01-10	3967.65	GBP	H	KZ	""	2026-02-12	2000000055
4000	0000100026	5100000092	2026	2026-03-28	472110.78	EUR	H	RE	0001	2026-05-20	2000000056
2000	0000100028	5100000094	2026	2026-08-16	147725.15	EUR	H	RE	0001	2026-10-16	2000000057
2000	0000100028	5100000096	2026	2026-02-20	346465.24	GBP	H	KR	0001	2026-03-24	2000000058
2000	0000100028	5100000097	2026	2026-03-20	216835.74	EUR	H	KG	0001	2026-05-04	2000000059
2000	0000100028	5100000099	2026	2026-02-09	438768.68	USD	H	KZ	0001	2026-03-20	2000000060
3000	0000100029	5100000101	2026	2026-05-09	460238.03	JPY	H	RE	""	2026-05-14	2000000061
1000	0000100030	5100000104	2026	2026-07-07	185505.61	GBP	H	KZ	""	2026-07-25	2000000062
1000	0000100030	5100000105	2026	2026-05-23	249484.29	GBP	H	KR	""	2026-06-08	2000000063
5000	0000100032	5100000110	2026	2026-07-21	214196.55	USD	H	RE	""	2026-09-15	2000000064
5000	0000100032	5100000113	2026	2026-07-04	116411.08	EUR	H	KR	""	2026-07-11	2000000065
4000	0000100033	5100000116	2026	2026-01-24	435414.2	JPY	H	RE	""	2026-02-13	2000000066
5000	0000100034	5100000118	2026	2026-07-06	201598.78	JPY	H	RE	0001	2026-09-06	2000000067
5000	0000100034	5100000119	2026	2026-05-30	359802.7	JPY	H	KG	0001	2026-07-03	2000000068
5000	0000100034	5100000120	2026	2026-06-19	371302.16	USD	H	RE	0001	2026-06-29	2000000069
5000	0000100034	5100000121	2026	2026-06-06	36460.75	JPY	H	RE	0001	2026-08-19	2000000070
2000	0000100035	5100000122	2026	2026-03-02	419889.05	JPY	H	KR	0001	2026-04-13	2000000071
2000	0000100035	5100000124	2026	2026-05-20	2991.42	USD	H	KG	0001	2026-08-01	2000000072
2000	0000100035	5100000127	2026	2026-02-15	252089.18	GBP	H	KZ	0001	2026-03-08	2000000073
2000	0000100036	5100000129	2026	2026-05-23	473616.48	EUR	H	RE	""	2026-07-01	2000000074
2000	0000100036	5100000131	2026	2026-01-24	20542.01	JPY	H	KZ	""	2026-03-21	2000000075
2000	0000100036	5100000132	2026	2026-05-06	91282.73	EUR	H	KR	""	2026-05-29	2000000076
2000	0000100036	5100000133	2026	2026-05-25	389884.6	JPY	H	KG	""	2026-06-13	2000000077
5000	0000100037	5100000135	2026	2026-04-03	287440.48	GBP	H	KG	""	2026-05-12	2000000078
5000	0000100037	5100000136	2026	2026-04-19	446755.45	GBP	H	RE	""	2026-06-22	2000000079
5000	0000100037	5100000138	2026	2026-03-16	385387.21	JPY	H	KG	""	2026-05-15	2000000080
5000	0000100037	5100000139	2026	2026-05-14	65965.48	GBP	H	RE	""	2026-07-15	2000000081
5000	0000100038	5100000140	2026	2026-05-31	39387.71	JPY	H	KG	""	2026-06-09	2000000082
5000	0000100038	5100000142	2026	2026-02-09	340857.77	GBP	H	KZ	""	2026-03-29	2000000083
