BUKRS	LIFNR	BELNR	GJAHR	BUDAT	WRBTR	WAERS	SHKZG	BLART	BVTYP
2000	0000100000	5100000001	2026	2026-03-24	152304.31	GBP	H	KZ	0001
2000	0000100000	5100000002	2026	2026-02-11	246152.79	JPY	H	KR	0001
3000	0000100001	5100000007	2026	2026-02-14	69144.06	GBP	H	KR	""
4000	0000100003	5100000012	2026	2026-03-05	118262.57	JPY	H	KG	""
4000	0000100003	5100000014	2026	2026-05-16	117885.61	GBP	H	KG	""
1000	0000100004	5100000015	2026	2026-02-21	468476.41	JPY	H	KR	""
1000	0000100004	5100000017	2026	2026-06-01	186635.33	GBP	H	KZ	""
3000	0000100006	5100000019	2026	2026-03-20	355184.12	EUR	H	KG	""
3000	0000100006	5100000020	2026	2026-04-05	63928.32	EUR	H	KG	""
3000	0000100006	5100000022	2026	2026-07-22	206719.38	GBP	H	KZ	""
3000	0000100006	5100000024	2026	2026-06-25	474573.98	GBP	H	KR	""
1000	0000100007	5100000025	2026	2026-03-30	23697.01	JPY	H	KR	0001
1000	0000100007	5100000029	2026	2026-01-01	235064.19	EUR	H	KZ	0001
4000	0000100008	5100000031	2026	2026-04-27	36975.06	GBP	H	RE	""
1000	0000100009	5100000035	2026	2026-04-08	239473.13	GBP	H	KR	0001
1000	0000100009	5100000037	2026	2026-03-06	330125.2	GBP	H	KG	0001
2000	0000100010	5100000040	2026	2026-07-09	276551.82	EUR	H	RE	""
3000	0000100011	5100000044	2026	2026-06-19	270871.81	GBP	H	KR	""
1000	0000100013	5100000047	2026	2026-02-11	266890.09	USD	H	KG	""
1000	0000100014	5100000050	2026	2026-07-17	139435.79	USD	H	KR	""
2000	0000100015	5100000054	2026	2026-07-05	278347.94	JPY	H	KR	0001
2000	0000100015	5100000055	2026	2026-06-12	302008.08	GBP	H	KR	0001
5000	0000100017	5100000058	2026	2026-05-25	354504.41	JPY	H	KR	""
1000	0000100018	5100000064	2026	2026-08-10	194593.83	JPY	H	RE	""
3000	0000100019	5100000068	2026	2026-06-16	475417.57	USD	H	KZ	""
3000	0000100019	5100000071	2026	2026-01-13	93329.87	USD	H	KR	""
4000	0000100021	5100000073	2026	2026-02-16	219336.61	USD	H	KG	""
4000	0000100021	5100000076	2026	2026-06-05	356553.42	USD	H	KG	""
5000	0000100022	5100000077	2026	2026-02-05	420246.46	GBP	H	KZ	""
4000	0000100023	5100000081	2026	2026-07-14	97655.96	JPY	H	RE	0001
4000	0000100023	5100000082	2026	2026-02-13	79057.84	USD	H	RE	0001
2000	0000100024	5100000083	2026	2026-06-03	285733.96	JPY	H	KG	""
5000	0000100025	5100000085	2026	2026-04-04	22554.14	EUR	H	RE	""
5000	0000100025	5100000087	2026	2026-07-20	280845.79	GBP	H	KZ	""
5000	0000100025	5100000089	2026	2026-02-13	269521.36	USD	H	RE	""
4000	0000100026	5100000091	2026	2026-01-16	129633.14	GBP	H	KG	0001
4000	0000100027	5100000093	2026	2026-03-26	263118.22	EUR	H	KZ	""
2000	0000100028	5100000095	2026	2026-08-04	91725.49	EUR	H	RE	0001
2000	0000100028	5100000098	2026	2026-01-21	200191.6	JPY	H	KG	0001
3000	0000100029	5100000100	2026	2026-05-25	296678.6	EUR	H	KZ	""
3000	0000100029	5100000102	2026	2026-05-10	57314.94	EUR	H	KG	""
3000	0000100029	5100000103	2026	2026-07-16	340526.95	GBP	H	KZ	""
1000	0000100030	5100000106	2026	2026-07-24	267668.35	EUR	H	RE	""
1000	0000100030	5100000107	2026	2026-06-17	66735.84	USD	H	KZ	""
3000	0000100031	5100000108	2026	2026-06-09	133836.95	EUR	H	KG	0001
5000	0000100032	5100000109	2026	2026-01-15	18216.98	GBP	H	RE	""
5000	0000100032	5100000111	2026	2026-04-25	33150.36	EUR	H	KR	""
5000	0000100032	5100000112	2026	2026-05-06	29984.72	GBP	H	KR	""
5000	0000100032	5100000114	2026	2026-03-24	7933.65	GBP	H	RE	""
4000	0000100033	5100000115	2026	2026-05-04	427629.06	GBP	H	KG	""
5000	0000100034	5100000117	2026	2026-03-30	479586.35	USD	H	KR	0001
2000	0000100035	5100000123	2026	2026-02-25	63744.2	GBP	H	KZ	0001
2000	0000100035	5100000125	2026	2026-06-05	212371.1	GBP	H	KR	0001
2000	0000100035	5100000126	2026	2026-07-08	341616.59	EUR	H	KZ	0001
2000	0000100036	5100000128	2026	2026-05-16	318340.44	GBP	H	KG	""
2000	0000100036	5100000130	2026	2026-06-10	287159.31	GBP	H	KG	""
5000	0000100037	5100000134	2026	2026-03-04	164138.34	GBP	H	KG	""
5000	0000100037	5100000137	2026	2026-02-23	61493.43	USD	H	KZ	0001
5000	0000100038	5100000141	2026	2026-01-12	427526.24	EUR	H	KZ	""
5000	0000100039	5100000143	2026	2026-07-18	237005.41	EUR	H	KR	""
5000	0000100039	5100000144	2026	2026-05-19	205788.0	JPY	H	KG	""
5000	0000100039	5100000145	2026	2026-04-18	17857.08	USD	H	KR	""
5000	0000100040	5100000147	2026	2026-04-28	225821.41	USD	H	KZ	""
2000	0000100041	5100000148	2026	2026-07-25	170462.14	EUR	H	KR	""
2000	0000100042	5100000149	2026	2026-02-24	18490.25	GBP	H	RE	""
2000	0000100043	5100000155	2026	2026-01-21	16596.57	USD	H	KZ	""
3000	0000100044	5100000157	2026	2026-03-10	224129.83	EUR	H	KG	""
3000	0000100044	5100000158	2026	2026-01-04	247065.54	JPY	H	KG	""
3000	0000100044	5100000159	2026	2026-04-02	107523.56	JPY	H	KG	""
3000	0000100044	5100000160	2026	2026-06-01	232349.57	GBP	H	RE	""
3000	0000100045	5100000162	2026	2026-01-15	399425.32	USD	H	RE	""
3000	0000100046	5100000163	2026	2026-04-11	165056.17	GBP	H	KZ	""
