LIFNR	BUKRS	AKONT
0000100000	2000	0000160000
0000100001	3000	0000160000
0000100002	3000	0000160000
0000100003	4000	0000160000
0000100004	1000	0000160000
0000100005	1000	0000160000
0000100006	3000	0000160000
0000100007	1000	0000160000
0000100008	4000	0000160000
0000100009	1000	0000160000
0000100010	2000	0000160000
0000100011	3000	0000160000
0000100012	2000	0000160000
0000100013	1000	0000160000
0000100014	1000	0000160000
0000100015	2000	0000160000
0000100016	3000	0000160000
0000100017	5000	0000160000
0000100018	1000	0000160000
0000100019	3000	0000160000
0000100020	5000	0000160000
0000100021	4000	0000160000
0000100022	5000	0000160000
0000100023	4000	0000160000
0000100024	2000	0000160000
0000100025	5000	0000160000
0000100026	4000	0000160000
0000100027	4000	0000160000
0000100028	2000	0000160000
0000100029	3000	0000160000
0000100030	1000	0000160000
0000100031	3000	0000160000
0000100032	5000	0000160000
0000100033	4000	0000160000
0000100034	5000	0000160000
0000100035	2000	0000160000
0000100036	2000	0000160000
0000100037	5000	0000160000
0000100038	5000	0000160000
0000100039	5000	0000160000
0000100040	5000	0000160000
0000100041	2000	0000160000
0000100042	2000	0000160000
0000100043	2000	0000160000
0000100044	3000	0000160000
0000100045	3000	0000160000
0000100046	3000	0000160000
0000100047	3000	0000160000
0000100048	2000	0000160000
0000100049	3000	0000160000
0000100050	4000	0000160000
0000100051	3000	0000160000
0000100052	2000	0000160000
0000100053	1000	0000160000
0000100054	3000	0000160000
0000100055	1000	0000160000
0000100056	3000	0000160000
0000100057	2000	0000160000
0000100058	1000	0000160000
0000100059	1000	0000160000
0000100060	4000	0000160000
0000100061	3000	0000160000
0000100062	2000	0000160000
0000100063	3000	0000160000
0000100064	3000	0000160000
0000100065	1000	0000160000
0000100066	4000	0000160000
0000100067	1000	0000160000
0000100068	2000	0000160000
0000100069	3000	0000160000
0000100070	3000	0000160000
0000100071	4000	0000160000
0000100072	4000	0000160000
0000100073	2000	0000160000
0000100074	3000	0000160000
0000100075	2000	0000160000
0000100076	3000	0000160000
0000100077	3000	0000160000
0000100078	4000	0000160000
0000100079	1000	0000160000
0000100080	3000	0000160000
0000100081	2000	0000160000
0000100082	1000	0000160000
0000100083	4000	0000160000
0000100084	4000	0000160000
0000100085	3000	0000160000
0000100086	1000	0000160000
0000100087	4000	0000160000
0000100088	3000	0000160000
0000100089	1000	0000160000
0000100090	5000	0000160000
0000100091	2000	0000160000
0000100092	4000	0000160000
0000100093	5000	0000160000
0000100094	4000	0000160000
0000100095	1000	0000160000
0000100096	1000	0000160000
0000100097	1000	0000160000
0000100098	3000	0000160000
0000100099	3000	0000160000
0000100100	3000	0000160000
0000100101	1000	0000160000
0000100102	2000	0000160000
0000100103	4000	0000160000
0000100104	1000	0000160000
0000100105	4000	0000160000
0000100106	1000	0000160000
0000100107	5000	0000160000
0000100108	2000	0000160000
0000100109	5000	0000160000
0000100110	3000	0000160000
0000100111	5000	0000160000
0000100112	3000	0000160000
0000100113	1000	0000160000
0000100114	4000	0000160000
0000100115	3000	0000160000
0000100116	4000	0000160000
0000100117	2000	0000160000
0000100118	3000	0000160000
0000100119	5000	0000160000
0000100120	2000	0000160000
0000100121	1000	0000160000
0000100122	1000	0000160000
0000100123	4000	0000160000
0000100124	5000	0000160000
0000100125	5000	0000160000
0000100126	4000	0000160000
0000100127	2000	0000160000
0000100128	4000	0000160000
0000100129	3000	0000160000
0000100130	5000	0000160000
0000100131	1000	0000160000
0000100132	5000	0000160000
0000100133	1000	0000160000
0000100134	1000	0000160000
0000100135	5000	0000160000
0000100136	1000	0000160000
0000100137	5000	0000160000
0000100138	3000	0000160000
0000100139	3000	0000160000
0000100140	3000	0000160000
0000100141	4000	0000160000
0000100142	1000	0000160000
0000100143	5000	0000160000
0000100144	1000	0000160000
0000100145	1000	0000160000
0000100146	4000	0000160000
0000100147	3000	0000160000
0000100148	1000	0000160000
0000100149	3000	0000160000
0000100150	2000	0000160000
0000100151	1000	0000160000
0000100152	1000	0000160000
0000100153	4000	0000160000
0000100154	2000	0000160000
0000100155	5000	0000160000
0000100156	1000	0000160000
0000100157	2000	0000160000
0000100158	4000	0000160000
0000100159	5000	0000160000
0000100160	4000	0000160000
0000100161	4000	0000160000
0000100162	1000	0000160000
0000100163	4000	0000160000
0000100164	3000	0000160000
0000100165	4000	0000160000
0000100166	4000	0000160000
0000100167	2000	0000160000
0000100168	4000	0000160000
0000100169	1000	0000160000
0000100170	3000	0000160000
0000100171	4000	0000160000
0000100172	3000	0000160000
0000100173	4000	0000160000
0000100174	1000	0000160000
0000100175	4000	0000160000
0000100176	2000	0000160000
0000100177	4000	0000160000
0000100178	2000	0000160000
0000100179	5000	0000160000
0000100180	5000	0000160000
0000100181	3000	0000160000
0000100182	3000	0000160000
0000100183	4000	0000160000
0000100184	2000	0000160000
0000100185	2000	0000160000
0000100186	3000	0000160000
0000100187	3000	0000160000
0000100188	4000	0000160000
0000100189	3000	0000160000
0000100190	1000	0000160000
0000100191	4000	0000160000
0000100192	3000	0000160000
0000100193	5000	0000160000
0000100194	2000	0000160000
0000100195	4000	0000160000
0000100196	2000	0000160000
0000100197	4000	0000160000
0000100198	5000	0000160000
0000100199	1000	0000160000
0000100200	4000	0000160000
0000100201	2000	0000160000
0000100202	3000	0000160000
0000100203	2000	0000160000
0000100204	5000	0000160000
0000100205	5000	0000160000
0000100206	4000	0000160000
0000100207	3000	0000160000
0000100208	3000	0000160000
0000100209	4000	0000160000
0000100210	5000	0000160000
0000100211	5000	0000160000
0000100212	3000	0000160000
0000100213	1000	0000160000
0000100214	1000	0000160000
0000100215	2000	0000160000
0000100216	2000	0000160000
0000100217	3000	0000160000
0000100218	2000	0000160000
0000100219	5000	0000160000
0000100220	2000	0000160000
0000100221	4000	0000160000
0000100222	2000	0000160000
0000100223	1000	0000160000
0000100224	2000	0000160000
0000100225	5000	0000160000
0000100226	1000	0000160000
0000100227	5000	0000160000
0000100228	5000	0000160000
0000100229	5000	0000160000
0000100230	3000	0000160000
0000100231	4000	0000160000
0000100232	3000	0000160000
0000100233	5000	0000160000
0000100234	3000	0000160000
0000100235	3000	0000160000
0000100236	5000	0000160000
0000100237	1000	0000160000
0000100238	5000	0000160000
0000100239	5000	0000160000
0000100240	4000	0000160000
0000100241	4000	0000160000
0000100242	5000	0000160000
0000100243	5000	0000160000
0000100244	4000	0000160000
0000100245	4000	0000160000
0000100246	4000	0000160000
0000100247	5000	0000160000
0000100248	2000	0000160000
0000100249	5000	0000160000
0000100250	3000	0000160000
0000100251	3000	0000160000
0000100252	5000	0000160000
0000100253	3000	0000160000
0000100254	5000	0000160000
0000100255	2000	0000160000
0000100256	2000	0000160000
0000100257	1000	0000160000
0000100258	2000	0000160000
0000100259	2000	0000160000
0000100260	5000	0000160000
0000100261	2000	0000160000
0000100262	3000	0000160000
0000100263	4000	0000160000
0000100264	5000	0000160000
0000100265	5000	0000160000
0000100266	4000	0000160000
0000100267	3000	0000160000
0000100268	2000	0000160000
0000100269	1000	0000160000
0000100270	4000	0000160000
0000100271	5000	0000160000
0000100272	5000	0000160000
0000100273	1000	0000160000
0000100274	1000	0000160000
0000100275	2000	0000160000
0000100276	3000	0000160000
0000100277	4000	0000160000
0000100278	2000	0000160000
0000100279	1000	0000160000
0000100280	2000	0000160000
0000100281	4000	0000160000
0000100282	3000	0000160000
0000100283	5000	0000160000
0000100284	4000	0000160000
0000100285	5000	0000160000
0000100286	1000	0000160000
0000100287	2000	0000160000
0000100288	5000	0000160000
0000100289	2000	0000160000
0000100290	2000	0000160000
0000100291	2000	0000160000
0000100292	2000	0000160000
0000100293	3000	0000160000
0000100294	4000	0000160000
0000100295	2000	0000160000
0000100296	2000	0000160000
0000100297	4000	0000160000
0000100298	3000	0000160000
0000100299	4000	0000160000
0000100300	2000	0000160000
0000100301	4000	0000160000
0000100302	2000	0000160000
0000100303	1000	0000160000
0000100304	3000	0000160000
0000100305	5000	0000160000
0000100306	2000	0000160000
0000100307	5000	0000160000
0000100308	3000	0000160000
0000100309	5000	0000160000
0000100310	4000	0000160000
0000100311	1000	0000160000
0000100312	5000	0000160000
0000100313	1000	0000160000
0000100314	4000	0000160000
0000100315	3000	0000160000
0000100316	3000	0000160000
0000100317	1000	0000160000
0000100318	3000	0000160000
0000100319	3000	0000160000
0000100320	5000	0000160000
0000100321	4000	0000160000
0000100322	3000	0000160000
0000100323	2000	0000160000
0000100324	4000	0000160000
0000100325	4000	0000160000
0000100326	2000	0000160000
0000100327	2000	0000160000
0000100328	1000	0000160000
0000100329	4000	0000160000
0000100330	1000	0000160000
0000100331	1000	0000160000
0000100332	4000	0000160000
0000100333	4000	0000160000
0000100334	2000	0000160000
0000100335	2000	0000160000
0000100336	5000	0000160000
0000100337	1000	0000160000
0000100338	2000	0000160000
0000100339	2000	0000160000
0000100340	3000	0000160000
0000100341	1000	0000160000
0000100342	5000	0000160000
0000100343	3000	0000160000
0000100344	1000	0000160000
0000100345	3000	0000160000
0000100346	3000	0000160000
0000100347	5000	0000160000
0000100348	2000	0000160000
0000100349	1000	0000160000
0000100350	1000	0000160000
0000100351	5000	0000160000
0000100352	3000	0000160000
0000100353	3000	0000160000
0000100354	5000	0000160000
0000100355	5000	0000160000
0000100356	2000	0000160000
0000100357	3000	0000160000
0000100358	2000	0000160000
0000100359	3000	0000160000
0000100360	1000	0000160000
