LIFNR	BANKS	BANKL	BANKN	KOINH	BVTYP
0000100000	TH	59261615	941078561445	Solstice Trading BV	0001
0000100000	IN	77300361	934203112799	Solstice Trading BV	0002
0000100001	US	13513621	318776697972	Arcadia Manufacturing Sdn Bhd	""
0000100002	VN	52875273	809708985467	Lumen Technologies Pte	""
0000100003	GB	63372958	269700144326	Silverline Electronics Co	""
0000100004	CN	60123335	763385116460	Solstice Services SARL	""
0000100005	HK	82591120	557315728391	Pacific Logistics GmbH	0001
0000100006	IN	19233859	308734863800	Everest Trading BV	""
0000100007	DE	69283550	595831381806	Northgate Industries Inc	0001
0000100008	GB	11431442	131330685873	Lumen Technologies Pte	""
0000100009	JP	25060113	158273792210	Meridian Electronics Co	0001
0000100010	NL	38488137	644664962856	Halcyon Trading BV	""
0000100011	US	26704188	985630129284	Sable Technologies Pte	0001
0000100011	KR	80370885	605553705012	Sable Technologies Pte	""
0000100012	NL	30889902	528665765612	Arcadia Industries Inc	0001
0000100013	IT	79812432	367696581908	Meridian Services SARL	""
0000100014	JP	24030534	375028418420	Blue Harbour Materials Corp	""
0000100015	TH	70475841	823714270496	Beacon Services SARL	0001
0000100016	LU	28970842	808793354559	Cobalt Industries Inc	""
0000100017	VN	83674687	339478697743	Cobalt Logistics GmbH	""
0000100018	US	40627634	104485128675	Northgate Logistics GmbH	""
0000100018	VN	55903749	864456207768	Northgate Logistics GmbH	""
0000100019	US	41311800	365808356727	Ironwood Trading BV	""
0000100020	VN	69604418	939457710242	Beacon Materials Corp	""
0000100021	GB	20302676	596738209569	Cobalt Services SARL	""
0000100022	VN	88924248	280403742077	Halcyon Supplies SA	""
0000100022	DE	94512508	804304620915	Halcyon Supplies SA	""
0000100023	KY	18561128	674823159440	Halcyon Components Ltd	0001
0000100024	KR	18084238	889700850893	Pacific Supplies SA	""
0000100025	LU	54636595	680249502862	Ironwood Trading BV	""
0000100026	FR	17650072	829557361970	Lumen Materials Corp	0001
0000100027	GB	58883568	678280666691	Meridian Manufacturing Sdn Bhd	""
0000100027	IN	59452284	979894498675	Meridian Manufacturing Sdn Bhd	""
0000100028	NL	34943365	829681041850	Silverline Materials Corp	0001
0000100029	US	75776651	328853862218	Windward Trading BV	""
0000100030	AE	97317817	513960069931	Orion Components Ltd	""
0000100031	IT	13383162	248883422825	Cobalt Manufacturing Sdn Bhd	0001
0000100032	MY	82240734	812890665294	Meridian Manufacturing Sdn Bhd	""
0000100033	GB	24162621	675281329545	Cobalt Materials Corp	""
0000100034	VN	73577144	104614502905	Arcadia Materials Corp	0001
0000100035	CN	53260460	315248908415	Pacific Trading BV	0001
0000100036	NL	86049582	417450724745	Blue Harbour Industries Inc	""
0000100037	VN	28419405	348126481458	Northgate Services SARL	0001
0000100037	MY	51137183	362213101091	Northgate Services SARL	""
0000100038	VN	74056924	147902632191	Orion Components Ltd	""
0000100039	VN	88156905	800389156245	Everest Materials Corp	""
0000100040	VN	20681562	899357896598	Halcyon Trading BV	""
0000100041	FR	45976820	814158166642	Cobalt Technologies Pte	""
0000100042	KR	50877545	118322359247	Granite Technologies Pte	""
